ID	ImageURL	WikiURL	CollInfo	DisplayName	Title	Subtitle	TitleSuffix	Nicknames
30	https://res.starwarsccg.org/cards/Dagobah-Light/large/ajedisstrength.gif	https://scomp.starwarsccg.org/?s=A+Jedi%27s+Strength	DAGU075	A Jedi's Strength	A Jedis Strength	A Jedis Strength		A Jedi's Strength,Light A Jedi's Strength,LightA Jedi's Strength,LS A Jedi's Strength,LSA Jedi's Strength,A Jedi’s Strength,A Jedi‘s Strength,Light A Jedi’s Strength,Light A Jedi‘s Strength,LightA Jedi’s Strength,LightA Jedi‘s Strength,LS A Jedi’s Strength,LS A Jedi‘s Strength,LSA Jedi’s Strength,LSA Jedi‘s Strength,A Jedi's Strength (DAGU075),DAGU075,(DAGU075)
32	https://res.starwarsccg.org/cards/ThirdAnthology-Light/large/anewsecretbase.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+New+Secret+Base	3APM001	•A New Secret Base	A New Secret Base	A New Secret Base		•A New Secret Base,Light •A New Secret Base,Light•A New Secret Base,LS •A New Secret Base,LS•A New Secret Base,A New Secret Base,Light A New Secret Base,LightA New Secret Base,LS A New Secret Base,LSA New Secret Base,•A New Secret Base (3APM001),3APM001,(3APM001)
5000	https://res.starwarsccg.org/cards/Virtual1-Light/large/anewsecretbase.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+New+Secret+Base+%28V%29	V1PM008	•A New Secret Base (V)	A New Secret Base	A New Secret Base	(V)	•A New Secret Base (V),Light •A New Secret Base (V),Light•A New Secret Base (V),LS •A New Secret Base (V),LS•A New Secret Base (V),A New Secret Base (V),Light A New Secret Base (V),LightA New Secret Base (V),LS A New Secret Base (V),LSA New Secret Base (V),•A New Secret Base (V) (V1PM008),V1PM008,(V1PM008)
34	https://res.starwarsccg.org/cards/ReflectionsIII-Light/large/aremoteplanet.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Remote+Planet	Ref3PM002	•A Remote Planet	A Remote Planet	A Remote Planet		•A Remote Planet,Light •A Remote Planet,Light•A Remote Planet,LS •A Remote Planet,LS•A Remote Planet,A Remote Planet,Light A Remote Planet,LightA Remote Planet,LS A Remote Planet,LSA Remote Planet,•A Remote Planet (Ref3PM002),Ref3PM002,(Ref3PM002)
35	https://res.starwarsccg.org/cards/Tatooine-Light/large/astepbackward.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Step+Backward	TATU030	•A Step Backward	A Step Backward	A Step Backward		•A Step Backward,Light •A Step Backward,Light•A Step Backward,LS •A Step Backward,LS•A Step Backward,A Step Backward,Light A Step Backward,LightA Step Backward,LS A Step Backward,LSA Step Backward,•A Step Backward (TATU030),TATU030,(TATU030)
36	https://res.starwarsccg.org/cards/Coruscant-Light/large/atragedyhasoccurred.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Tragedy+Has+Occurred	CORU037	•A Tragedy Has Occurred	A Tragedy Has Occurred	A Tragedy Has Occurred		•A Tragedy Has Occurred,Light •A Tragedy Has Occurred,Light•A Tragedy Has Occurred,LS •A Tragedy Has Occurred,LS•A Tragedy Has Occurred,A Tragedy Has Occurred,Light A Tragedy Has Occurred,LightA Tragedy Has Occurred,LS A Tragedy Has Occurred,LSA Tragedy Has Occurred,•A Tragedy Has Occurred (CORU037),CORU037,(CORU037)
37	https://res.starwarsccg.org/cards/ReflectionsIII-Light/large/atragedyhasoccurred.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Tragedy+Has+Occurred	Ref3PM003	•A Tragedy Has Occurred	A Tragedy Has Occurred	A Tragedy Has Occurred		•A Tragedy Has Occurred,Light •A Tragedy Has Occurred,Light•A Tragedy Has Occurred,LS •A Tragedy Has Occurred,LS•A Tragedy Has Occurred,A Tragedy Has Occurred,Light A Tragedy Has Occurred,LightA Tragedy Has Occurred,LS A Tragedy Has Occurred,LSA Tragedy Has Occurred,•A Tragedy Has Occurred (Ref3PM003),Ref3PM003,(Ref3PM003)
38	https://res.starwarsccg.org/cards/Premiere-Light/large/atremorintheforce.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2A+Tremor+In+The+Force	PU1042	•A Tremor In The Force	A Tremor In The Force	A Tremor In The Force		•A Tremor In The Force,Light •A Tremor In The Force,Light•A Tremor In The Force,LS •A Tremor In The Force,LS•A Tremor In The Force,A Tremor In The Force,Light A Tremor In The Force,LightA Tremor In The Force,LS A Tremor In The Force,LSA Tremor In The Force,•A Tremor In The Force (PU1042),PU1042,(PU1042)
41	https://res.starwarsccg.org/cards/Coruscant-Light/large/avergenceintheforce.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2%E2%80%A2%E2%80%A2A+Vergence+In+The+Force	CORU038	•••A Vergence In The Force	A Vergence In The Force	A Vergence In The Force		•••A Vergence In The Force,Light •••A Vergence In The Force,Light•••A Vergence In The Force,LS •••A Vergence In The Force,LS•••A Vergence In The Force,A Vergence In The Force,Light A Vergence In The Force,LightA Vergence In The Force,LS A Vergence In The Force,LSA Vergence In The Force,•••A Vergence In The Force (CORU038),CORU038,(CORU038)
179	https://res.starwarsccg.org/cards/DeathStarII-Light/large/awing.gif	https://scomp.starwarsccg.org/?s=A-wing	DS2C062	A-wing	A-wing	A-wing		A-wing,Light A-wing,LightA-wing,LS A-wing,LSA-wing,A-wing (DS2C062),DS2C062,(DS2C062)
180	https://res.starwarsccg.org/cards/DeathStarII-Light/large/awingcannon.gif	https://scomp.starwarsccg.org/?s=A-wing+Cannon	DS2C086	A-wing Cannon	A-wing Cannon	A-wing Cannon		A-wing Cannon,Light A-wing Cannon,LightA-wing Cannon,LS A-wing Cannon,LSA-wing Cannon,A-wing Cannon (DS2C086),DS2C086,(DS2C086)
42	https://res.starwarsccg.org/cards/Endor-Light/large/a280sharpshooterrifle.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2%E2%80%A2A280+Sharpshooter+Rifle	EDRR084	••A280 Sharpshooter Rifle	A280 Sharpshooter Rifle	A280 Sharpshooter Rifle		••A280 Sharpshooter Rifle,Light ••A280 Sharpshooter Rifle,Light••A280 Sharpshooter Rifle,LS ••A280 Sharpshooter Rifle,LS••A280 Sharpshooter Rifle,A280 Sharpshooter Rifle,Light A280 Sharpshooter Rifle,LightA280 Sharpshooter Rifle,LS A280 Sharpshooter Rifle,LSA280 Sharpshooter Rifle,••A280 Sharpshooter Rifle (EDRR084),EDRR084,(EDRR084)
5002	https://res.starwarsccg.org/cards/Virtual0-Light/large/aaylasecura.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Aayla+Secura	V0R001	•Aayla Secura (V)	Aayla Secura	Aayla Secura	(V)	•Aayla Secura (V),Light •Aayla Secura (V),Light•Aayla Secura (V),LS •Aayla Secura (V),LS•Aayla Secura (V),Aayla Secura (V),Light Aayla Secura (V),LightAayla Secura (V),LS Aayla Secura (V),LSAayla Secura (V),•Aayla Secura (V) (V0R001),V0R001,(V0R001)
5312	https://res.starwarsccg.org/cards/VirtualAlternateImage-Light/large/aaylasecura_ai.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Aayla+Secura+%28AI%29	V0R001AI	•Aayla Secura (AI) (V)	Aayla Secura	Aayla Secura	(AI)	•Aayla Secura (AI) (V),Light •Aayla Secura (AI) (V),Light•Aayla Secura (AI) (V),LS •Aayla Secura (AI) (V),LS•Aayla Secura (AI) (V),Aayla Secura (AI) (V),Light Aayla Secura (AI) (V),LightAayla Secura (AI) (V),LS Aayla Secura (AI) (V),LSAayla Secura (AI) (V),•Aayla Secura (AI) (V) (V0R001AI),V0R001AI,(V0R001AI)
54	https://res.starwarsccg.org/cards/CloudCity-Light/large/accessdenied.gif	https://scomp.starwarsccg.org/?s=Access+Denied	CCC015	Access Denied	Access Denied	Access Denied		Access Denied,Light Access Denied,LightAccess Denied,LS Access Denied,LSAccess Denied,Access Denied (CCC015),CCC015,(CCC015)
4086	https://res.starwarsccg.org/cards/Virtual0-Light/large/acclamatorclassassaultship.gif	https://scomp.starwarsccg.org/?s=Acclamator-Class+Assault+Ship	V0C2059	Acclamator-Class Assault Ship (V)	Acclamator-Class Assault Ship	Acclamator-Class Assault Ship	(V)	Acclamator-Class Assault Ship (V),Light Acclamator-Class Assault Ship (V),LightAcclamator-Class Assault Ship (V),LS Acclamator-Class Assault Ship (V),LSAcclamator-Class Assault Ship (V),Acclamator-Class Assault Ship (V) (V0C2059),V0C2059,(V0C2059)
58	https://res.starwarsccg.org/cards/DeathStarII-Light/large/admiralackbar.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Admiral+Ackbar	DS2XR006	•Admiral Ackbar	Admiral Ackbar	Admiral Ackbar		•Admiral Ackbar,Light •Admiral Ackbar,Light•Admiral Ackbar,LS •Admiral Ackbar,LS•Admiral Ackbar,Admiral Ackbar,Light Admiral Ackbar,LightAdmiral Ackbar,LS Admiral Ackbar,LSAdmiral Ackbar,•Admiral Ackbar (DS2XR006),DS2XR006,(DS2XR006)
5033	https://res.starwarsccg.org/cards/Virtual3-Light/large/admiralackbar.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Admiral+Ackbar+%28V%29	V3XR001	•Admiral Ackbar (V)	Admiral Ackbar	Admiral Ackbar	(V)	•Admiral Ackbar (V),Light •Admiral Ackbar (V),Light•Admiral Ackbar (V),LS •Admiral Ackbar (V),LS•Admiral Ackbar (V),Admiral Ackbar (V),Light Admiral Ackbar (V),LightAdmiral Ackbar (V),LS Admiral Ackbar (V),LSAdmiral Ackbar (V),•Admiral Ackbar (V) (V3XR001),V3XR001,(V3XR001)
5316	https://res.starwarsccg.org/cards/Virtual9-Light/large/admiralraddus.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Admiral+Raddus	V9C001	•Admiral Raddus (V)	Admiral Raddus	Admiral Raddus	(V)	•Admiral Raddus (V),Light •Admiral Raddus (V),Light•Admiral Raddus (V),LS •Admiral Raddus (V),LS•Admiral Raddus (V),Admiral Raddus (V),Light Admiral Raddus (V),LightAdmiral Raddus (V),LS Admiral Raddus (V),LSAdmiral Raddus (V),•Admiral Raddus (V) (V9C001),V9C001,(V9C001)
5213	https://res.starwarsccg.org/cards/Virtual8-Light/large/admiraluostatura.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Admiral+U.O.+Statura	V8C001	•Admiral U.O. Statura (V)	Admiral U.O. Statura	Admiral U.O. Statura	(V)	•Admiral U.O. Statura (V),Light •Admiral U.O. Statura (V),Light•Admiral U.O. Statura (V),LS •Admiral U.O. Statura (V),LS•Admiral U.O. Statura (V),Admiral U.O. Statura (V),Light Admiral U.O. Statura (V),LightAdmiral U.O. Statura (V),LS Admiral U.O. Statura (V),LSAdmiral U.O. Statura (V),•Admiral U.O. Statura (V) (V8C001),V8C001,(V8C001)
64	https://res.starwarsccg.org/cards/ANewHope-Light/large/advancepreparation.gif	https://scomp.starwarsccg.org/?s=Advance+Preparation	ANHU1043	Advance Preparation	Advance Preparation	Advance Preparation		Advance Preparation,Light Advance Preparation,LightAdvance Preparation,LS Advance Preparation,LSAdvance Preparation,Advance Preparation (ANHU1043),ANHU1043,(ANHU1043)
66	https://res.starwarsccg.org/cards/CloudCity-Light/large/advantage.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Advantage	CCR016	•Advantage	Advantage	Advantage		•Advantage,Light •Advantage,Light•Advantage,LS •Advantage,LS•Advantage,Advantage,Light Advantage,LightAdvantage,LS Advantage,LSAdvantage,•Advantage (CCR016),CCR016,(CCR016)
68	https://res.starwarsccg.org/cards/Premiere-Light/large/affectmind.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Affect+Mind	PR1043	•Affect Mind	Affect Mind	Affect Mind		•Affect Mind,Light •Affect Mind,Light•Affect Mind,LS •Affect Mind,LS•Affect Mind,Affect Mind,Light Affect Mind,LightAffect Mind,LS Affect Mind,LSAffect Mind,•Affect Mind (PR1043),PR1043,(PR1043)
69	https://res.starwarsccg.org/cards/ResetDS-Light/large/affectmind.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Affect+Mind+%28V%29	VDSR1025	•Affect Mind (V)	Affect Mind	Affect Mind	(V)	•Affect Mind (V),Light •Affect Mind (V),Light•Affect Mind (V),LS •Affect Mind (V),LS•Affect Mind (V),Affect Mind (V),Light Affect Mind (V),LightAffect Mind (V),LS Affect Mind (V),LSAffect Mind (V),•Affect Mind (V) (VDSR1025),VDSR1025,(VDSR1025)
5320	https://res.starwarsccg.org/cards/JabbasPalaceSealedDeck-Light/large/agentsinthecourt.gif	https://scomp.starwarsccg.org/?s=Agents+In+The+Court+%2F+No+Love+For+The+Empire	JPSDPM001	 No Love For The Empire	 No Love For The Empire	 No Love For The Empire		Agents In The Court ,Light Agents In The Court ,LightAgents In The Court ,LS Agents In The Court ,LSAgents In The Court ,Agents In The Court  (JPSDPM001),JPSDPM001,(JPSDPM001), No Love For The Empire,Light  No Love For The Empire,Light No Love For The Empire,LS  No Love For The Empire,LS No Love For The Empire, No Love For The Empire (JPSDPM001),JPSDPM001,(JPSDPM001)
5321	https://res.starwarsccg.org/cards/Virtual11-Light/large/ahchto.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahch-To	V11U048	•Ahch-To (V)	Ahch-To	Ahch-To	(V)	•Ahch-To (V),Light •Ahch-To (V),Light•Ahch-To (V),LS •Ahch-To (V),LS•Ahch-To (V),Ahch-To (V),Light Ahch-To (V),LightAhch-To (V),LS Ahch-To (V),LSAhch-To (V),•Ahch-To (V) (V11U048),V11U048,(V11U048)
5322	https://res.starwarsccg.org/cards/Virtual11-Light/large/ahchtocliffs.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahch-To%3A+Cliffs	V11C047	•Ahch-To: Cliffs (V)	Ahch-To: Cliffs	Ahch-To	(V)	•Ahch-To: Cliffs (V),Light •Ahch-To: Cliffs (V),Light•Ahch-To: Cliffs (V),LS •Ahch-To: Cliffs (V),LS•Ahch-To: Cliffs (V),Ahch-To: Cliffs (V),Light Ahch-To: Cliffs (V),LightAhch-To: Cliffs (V),LS Ahch-To: Cliffs (V),LSAhch-To: Cliffs (V),•Ahch-To: Cliffs (V) (V11C047),V11C047,(V11C047)
5323	https://res.starwarsccg.org/cards/Virtual11-Light/large/ahchtojeditemple.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahch-To%3A+Jedi+Temple	V11R046	•Ahch-To: Jedi Temple (V)	Ahch-To: Jedi Temple	Ahch-To	(V)	•Ahch-To: Jedi Temple (V),Light •Ahch-To: Jedi Temple (V),Light•Ahch-To: Jedi Temple (V),LS •Ahch-To: Jedi Temple (V),LS•Ahch-To: Jedi Temple (V),Ahch-To: Jedi Temple (V),Light Ahch-To: Jedi Temple (V),LightAhch-To: Jedi Temple (V),LS Ahch-To: Jedi Temple (V),LSAhch-To: Jedi Temple (V),•Ahch-To: Jedi Temple (V) (V11R046),V11R046,(V11R046)
5324	https://res.starwarsccg.org/cards/Virtual11-Light/large/ahchtojedivillage.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahch-To%3A+Jedi+Village	V11U045	•Ahch-To: Jedi Village (V)	Ahch-To: Jedi Village	Ahch-To	(V)	•Ahch-To: Jedi Village (V),Light •Ahch-To: Jedi Village (V),Light•Ahch-To: Jedi Village (V),LS •Ahch-To: Jedi Village (V),LS•Ahch-To: Jedi Village (V),Ahch-To: Jedi Village (V),Light Ahch-To: Jedi Village (V),LightAhch-To: Jedi Village (V),LS Ahch-To: Jedi Village (V),LSAhch-To: Jedi Village (V),•Ahch-To: Jedi Village (V) (V11U045),V11U045,(V11U045)
5325	https://res.starwarsccg.org/cards/Virtual11-Light/large/ahchtolukeshut.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahch-To%3A+Luke%27s+Hut	V11U044	•Ahch-To: Luke's Hut (V)	Ahch-To: Lukes Hut	Ahch-To	(V)	•Ahch-To: Luke's Hut (V),Light •Ahch-To: Luke's Hut (V),Light•Ahch-To: Luke's Hut (V),LS •Ahch-To: Luke's Hut (V),LS•Ahch-To: Luke's Hut (V),Ahch-To: Luke's Hut (V),Light Ahch-To: Luke's Hut (V),LightAhch-To: Luke's Hut (V),LS Ahch-To: Luke's Hut (V),LSAhch-To: Luke's Hut (V),•Ahch-To: Luke’s Hut (V),•Ahch-To: Luke‘s Hut (V),Light •Ahch-To: Luke’s Hut (V),Light •Ahch-To: Luke‘s Hut (V),Light•Ahch-To: Luke’s Hut (V),Light•Ahch-To: Luke‘s Hut (V),LS •Ahch-To: Luke’s Hut (V),LS •Ahch-To: Luke‘s Hut (V),LS•Ahch-To: Luke’s Hut (V),LS•Ahch-To: Luke‘s Hut (V),•Ahch-To: Luke's Hut (V) (V11U044),V11U044,(V11U044)
5326	https://res.starwarsccg.org/cards/Virtual10-Light/large/ahchtosaddle.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahch-To%3A+Saddle	V10R001	•Ahch-To: Saddle (V)	Ahch-To: Saddle	Ahch-To	(V)	•Ahch-To: Saddle (V),Light •Ahch-To: Saddle (V),Light•Ahch-To: Saddle (V),LS •Ahch-To: Saddle (V),LS•Ahch-To: Saddle (V),Ahch-To: Saddle (V),Light Ahch-To: Saddle (V),LightAhch-To: Saddle (V),LS Ahch-To: Saddle (V),LSAhch-To: Saddle (V),•Ahch-To: Saddle (V) (V10R001),V10R001,(V10R001)
7020	https://res.starwarsccg.org/cards/VirtualAlternateImage-Light/large/ahchtosaddle_ai.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahch-To%3A+Saddle+%28AI%29	V10R001AI	•Ahch-To: Saddle (AI) (V)	Ahch-To: Saddle	Ahch-To	(AI)	•Ahch-To: Saddle (AI) (V),Light •Ahch-To: Saddle (AI) (V),Light•Ahch-To: Saddle (AI) (V),LS •Ahch-To: Saddle (AI) (V),LS•Ahch-To: Saddle (AI) (V),Ahch-To: Saddle (AI) (V),Light Ahch-To: Saddle (AI) (V),LightAhch-To: Saddle (AI) (V),LS Ahch-To: Saddle (AI) (V),LSAhch-To: Saddle (AI) (V),•Ahch-To: Saddle (AI) (V) (V10R001AI),V10R001AI,(V10R001AI)
5327	https://res.starwarsccg.org/cards/Virtual11-Light/large/ahsokatano.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahsoka+Tano	V11C059	•Ahsoka Tano (V)	Ahsoka Tano	Ahsoka Tano	(V)	•Ahsoka Tano (V),Light •Ahsoka Tano (V),Light•Ahsoka Tano (V),LS •Ahsoka Tano (V),LS•Ahsoka Tano (V),Ahsoka Tano (V),Light Ahsoka Tano (V),LightAhsoka Tano (V),LS Ahsoka Tano (V),LSAhsoka Tano (V),•Ahsoka Tano (V) (V11C059),V11C059,(V11C059)
5137	https://res.starwarsccg.org/cards/DemoDeck-Light/large/ahsokatanowithlightsabers.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahsoka+Tano+With+Lightsabers	VPC001	•Ahsoka Tano With Lightsabers	Ahsoka Tano With Lightsabers	Ahsoka Tano With Lightsabers		•Ahsoka Tano With Lightsabers,Light •Ahsoka Tano With Lightsabers,Light•Ahsoka Tano With Lightsabers,LS •Ahsoka Tano With Lightsabers,LS•Ahsoka Tano With Lightsabers,Ahsoka Tano With Lightsabers,Light Ahsoka Tano With Lightsabers,LightAhsoka Tano With Lightsabers,LS Ahsoka Tano With Lightsabers,LSAhsoka Tano With Lightsabers,•Ahsoka Tano With Lightsabers (VPC001),VPC001,(VPC001)
7021	https://res.starwarsccg.org/cards/VirtualAlternateImage-Light/large/ahsokatanowithlightsabers_ai.gif	https://scomp.starwarsccg.org/?s=%E2%80%A2Ahsoka+Tano+With+Lightsabers+%28AI%29	VPC001AI	•Ahsoka Tano With Lightsabers (AI)	Ahsoka Tano With Lightsabers	Ahsoka Tano With Lightsabers	(AI)	•Ahsoka Tano With Lightsabers (AI),Light •Ahsoka Tano With Lightsabers (AI),Light•Ahsoka Tano With Lightsabers (AI),LS •Ahsoka Tano With Lightsabers (AI),LS•Ahsoka Tano With Lightsabers (AI),Ahsoka Tano With Lightsabers (AI),Light Ahsoka Tano With Lightsabers (AI),LightAhsoka Tano With Lightsabers (AI),LS Ahsoka Tano With Lightsabers (AI),LSAhsoka Tano With Lightsabers (AI),•Ahsoka Tano With Lightsabers (AI) (VPC001AI),VPC001AI,(VPC001AI)
